language=简体中文
locales=zh-hans
fallback=English
disableHyphenationCheck=true

# 1) To get started, navigate to the game's directory. There should be a folder StreamingAssets/Mods/kubi.example.localization.
# 2) Make a copy of this folder and give it a new name, e.g. "yourname.language.localization".
# 3) Open the ModInfo.xml in the folder, enter the mod name and description and your name (if you like).
# 4) When starting the game, the new language should be available in the settings. 
# 5) Whenever you start the game with a new translation file, it will automatically create a list of the missing translation lines. This is both useful to get started and to keep the translation up-to-date when new strings get added. The file can be found in C:\Users\<username>\AppData\LocalLow\MirkoStudio\Kubifaktorium\Missing_<language>.txt on Windows or ~/.config/unity3d/MirkoStudio/Kubifaktorium/ on Linux.

# The general format of the localization file for each line is <key>=<value>, for example "UI.BuildTrain=Build train". The <key> must not be changed, the <value> is to be translated, so e.g. "UI.BuildTrain=Baue Zug".
# A line starting with "#" is ignored and can be used for comments.
# The line "fallback=English" specifies which language to use when a certain string cannot be found. Usually English is a good choice as it is usually the most up-to-date but other languages can be chosen if they are closer to the target language.
# The game supports hyphenation for languages with long strings like German. To use it, use the "_" character to insert a soft hyphen at the spots where a word can be hyphenated. I recommend this for words longer than 12-15 characters. For example: "Recommen_dations" or "trans_portation".
# A string in the format "#<id>#" causes an icon to be inserted, e.g. "#sun#". Note that the id must not be translated, otherwise it will not be found and translated correctly.
# A string in the format "##<id>" creates a keyword. Keywords like "##daytime" will be translated to an underlined word "daytime". In addition, an explanation will be added underneath, usually in the tooltips. Again, the id must not be translated. However, the explanation text (the lines with keys like ##idle), should.
# Strings like "$1", "$2" etc are placeholders for numbers and other things which will be filled by the game. For example "Growth rate at daytime: $1%" will become "Growth rate at daytime: 75%" at runtime.
# If required for some reason, you can use <br> to create a line break. However I recommend not using it.

### Thank you for your help!! :)


##Automated = #Power#自动化
##Automated.Desc = #Power#自动化：自动化建筑无需你的殖民者操作也可工作，但需要电力来运转。
##automatically = #Power#自动化的
##automatically.Desc = #Power#自动化：自动化建筑在不需要居民操作的情况下也能工作，但需要电力才能运转。
##cargoship = #Refine#货船
"##cargoship.Desc =  #Refine# 货船：出口多余的货物并进口需要的资源。如要出口货物，把存储区连接至货船港口
如要进口货物，把货船港口连接至库存并设置一些允许被进口的货物。"
##carriage = 马车
##carriage.Desc = 马车会自动在相连的驿站之间运输货物，选择一个车站并用鼠标右键点击另一个车站来连接他们。
##day = #sun#白天
##day.Desc = #sun#白天： 6:00 至 18:00 的时间段。
##decoration = #House#装饰品
##decoration.Desc = #House#装饰品：放置装饰品会让你的殖民者更加开心和更加效率。
##depot = 仓库
##depot.Desc = 仓库：用来储存并分配货物，用机械臂来提取或放入货物。
##drink = 饮品
##drink.Desc = 饮品：当口渴时，殖民者会自动找一些东西来喝，提供饮品会让他们更加开心和更加效率。
##farmzone = #Farm#农场
##farmzone.Desc = #Farm#农场区：可以分配在肥沃的土地上，让殖民者种植一些农作物。
##food = 食物
##food.Desc = 食物：当殖民者饥饿时会自动寻找食物进食。提供他们食物将会更加开心和更加效率。
##grovezone = #Grove# 林场
##grovezone.Desc = #Grove#林场：可以分配在肥沃的土壤上，让你的殖民者种植树木。
##happiness = #Happy#幸福
##happiness.Desc = #Happy#幸福：一个殖民者是否幸福影响着他或她的行走速度和工作效率。
##house = 房屋
##house.Desc = 房屋：殖民者和动物们拥有房屋后，他们会更幸福和更有效率。
##idle = #Idle# 空闲
##idle.Desc = #Idle# 空闲：你可以在殖民者管理界面来管理殖民者的工作。
##keycycle = #controller# 高低
##keycycle.Desc = #controller# 高低：鼠标的中键 或 'V'键。
##keyrotate = #controller# 旋转
##keyrotate.Desc = #controller# 旋转：鼠标的4和5键 或 'R'键。
##logsys = #Logistics# 物流系统
##logsys.Desc = #Logistics# 物流系统：当火车和仓库完成运输连接。设置好物流系统后，火车会自动完成运输工作。
##mine = #Mine# 开采
##mine.Desc = #Mine# 开采：要选择一项要开采的资源，你只需要点击开采按钮然后选中需要开采的资源。拖动鼠标框选一片区域，区域内的所有资源都会被开采。
##pasturezone = #Pasture#牧场
##pasturezone.Desc = #Pasture# 牧场区：可在肥沃土地上分配一片牧场区以聚集并驯养中立动物。
##power = #Power#发电
##power.Desc = #Power#发电：用发电机生产电力。
##productiontarget = 库存目标
##productiontarget.Desc = 库存目标：用岛上生产的产品完成库存目标。
##robot = 机器人
##robot.Desc = 机器人：可以完成简单的任务. 不会提升##技能 , 需要油才能行动,可以设定为多种行动模式。
##ship = #Compass# 船
##ship.Desc = #Compass# 船：将你带到这座岛上的船可以在岛屿之间运送物品。
##skill = #People# 技能
##skill.Desc = #People# 技能：每个殖民者精通的技能都有所不同，且每种技能熟练度也有高低之分，通过工作来提高技能,熟练度越高，效率越快。
##social = #Chat# 社交
##stacksize = 堆叠量
##stacksize.Desc = 堆叠：在库存和仓库中，可以在单个图块上堆叠多个相同类型的项目。
##stockpilezone = #Stockpile#存储区
##stockpilezone.Desc = #Stockpile#存储区：在踏实的地面（除自然沙地和海域）上划分区域，以便于存放工坊，农场或采矿作业的产品。
##territory = #Mountain# 领地
##territory.Desc = #Mountain# 领地：你只能在自己的领地之内建设。若要扩张领地，可以建设篝火堆,或者摧毁敌方营地。
##tool = #settings# 工具
##tool.Desc = #settings# 工具：增加居民完成任务的几率。居民会自动装备与任务相符品质最佳的工具。
##water = 水
##water.Desc = 水：农场的农作物需要浇水才能生长。
##weight = 重量
##weight.Desc = 重量：你的殖民者负重时会影响速度。
##zone = #star#区域
ObjectType.Floor_Stone.Desc = 岩石
ObjectType.Floor_Swamp = 沼泽
ObjectType.Floor_Swamp.Desc = 沼泽
ObjectType.Floor_Swamp_Water = 沼泽（临水）
ObjectType.Floor_Swamp_Water.Desc = 沼泽（临水）
ObjectType.Flower = 鲜花
ObjectType.Flower.Desc = 鲜花
ObjectType.FlowerPot = 花盆
ObjectType.FlowerPot.Desc = 用于种植盆栽植物 
ObjectType.Foundation_Dark_Lowland = 地基 (暗黑)
ObjectType.Foundation_Dark_Lowland.Desc = 在暗黑地形上建造这个地基。
ObjectType.Foundation_Desert_SandHigh = 地基 (沙地)
ObjectType.Foundation_Desert_SandHigh.Desc = 允许建造建筑物、道路和轨道在地基 (沙地)上。
ObjectType.Foundation_Grass = 地基 (草原)
ObjectType.Foundation_Grass.Desc = 允许建造建筑物、道路和轨道在地基 (草原)上。
ObjectType.Gold = 黄金
ObjectType.Gold.Desc = 黄金
ObjectType.GoldBlock = 金锭
ObjectType.GoldBlock.Desc = 一块金锭
ObjectType.Greenhouse = 温室农场
ObjectType.Greenhouse.Desc = 这个农场可 ##automatically 在任何地形上种植的农作物。
ObjectType.Grove5x5 = 自动化林场
ObjectType.Grove5x5.Desc = 林场可以 ##automatically 种植和收获树木。
ObjectType.Harbour = 货船港口
ObjectType.Harbour.Desc = 货船港口允许您与其他岛屿进行贸易 (##cargoship)。
ObjectType.HarvestedBerries = 草莓
ObjectType.HarvestedBerries.Desc = 收获的草莓。很好吃。
ObjectType.HarvestedCotton = 棉花
ObjectType.HarvestedCotton.Desc = 棉花可用于生产纺织品。
ObjectType.HarvestedFlowers = 野花
ObjectType.HarvestedFlowers.Desc = 采集野花可以加工成花茶。
ObjectType.HarvestedTomato = 番茄
ObjectType.HarvestedTomato.Desc = 收获的番茄。
ObjectType.HarvestedWheat = 小麦
ObjectType.HarvestedWheat.Desc = 小麦可用来制作面包和蛋糕。
ObjectType.Hippo = 河马
ObjectType.Hippo.Desc = 河马
ObjectType.Horse = 马
ObjectType.Horse.Desc = 温顺的生物。
ObjectType.HorseCarriage = 马车
ObjectType.HorseCarriage.Desc = 马车可以运输各种货物。
ObjectType.HorseStation = 驿站
ObjectType.HorseStation.Desc = ##carriage 运送货物的驿站。还有附赠一辆马车！ (##Logsys)
ObjectType.House = 简易民房
ObjectType.House.Desc = 让你的殖民者简单休息的地方。
ObjectType.HouseGood = 普通民宅
ObjectType.HouseGood.Desc = 让你的殖民者休息的地方。
ObjectType.HouseNice = 豪宅
ObjectType.HouseNice.Desc = 给你的殖民者一个五星级的家。
ObjectType.Inserter = 机械臂
ObjectType.Inserter.Desc = 使用机械臂接入 ##depot 或其他地方来运送货物。
ObjectType.Iron = 铁矿
ObjectType.Iron.Desc = 一块铁矿石
ObjectType.IronBlank = 铁板
ObjectType.IronBlank.Desc = 铁板被用来制作铁质工具和武器。
ObjectType.IronBlock = 铁锭
ObjectType.IronBlock.Desc = 高级工具和机械的部件。
ObjectType.IronHammer = 铁锤
ObjectType.IronHammer.Desc = 锤子用于生产商品和建造建筑。
ObjectType.IronPickaxe = 铁稿
ObjectType.IronPickaxe.Desc = 镐子用来开采石料、树木与山地。
ObjectType.IronQuarry = 铁矿场
ObjectType.IronQuarry.Desc = 铁矿场 ##automatically 开采无限的铁矿。
ObjectType.IronShovel = 铁铲
ObjectType.IronShovel.Desc = 铲子在务农时会用到。
ObjectType.IronSword = 铁剑
ObjectType.IronSword.Desc = 铁剑是一种基本的近战武器，伤害比石剑大。
ObjectType.IronVein = 铁矿石
ObjectType.IronVein.Desc = 铁矿石
ObjectType.Kiln = 窑炉
ObjectType.Kiln.Desc = 用来生产砖和木炭。
ObjectType.Log = 原木
ObjectType.Log.Desc = 原木可用作燃料，也可以加工成木炭或木板。
ObjectType.LootBox = 宝箱
ObjectType.LootBox.Desc = 打开宝箱获得随机货物  。
ObjectType.LunchBox = 盒饭
ObjectType.LunchBox.Desc = 小麦糊搭配数样蔬菜的精致盒饭。美味！
ObjectType.MachineParts = 机械零件
ObjectType.MachineParts.Desc = 机械零件可用来生产传送带和其他复杂机械。
ObjectType.MegaSpider = 巨型蜘蛛
ObjectType.MegaSpider.Desc = 更多蜘蛛
ObjectType.MetalWorkshop = 金属工场
ObjectType.MetalWorkshop.Desc = 允许制作高级铁质工具和武器。
ObjectType.Milk = 牛奶
ObjectType.Milk.Desc = 可以直接饮用或加工成食物。
ObjectType.MinedClay = 粘土块
ObjectType.MinedClay.Desc = 黏土可加工成砖块，大多数建筑都用得到。
ObjectType.MinedCopper = 铜矿石
ObjectType.MinedCopper.Desc = 一块铜矿石
ObjectType.MinedGold = 金矿石
ObjectType.MinedGold.Desc = 一块金矿石
ObjectType.MinedIron = 铁矿石
ObjectType.MinedIron.Desc = 可以熔化成铁锭。
ObjectType.MinedRock = 石材
ObjectType.MinedRock.Desc = 石材可用来建造基础建筑，也可以加工成石板。
ObjectType.MiningRobot = 采矿机器人
ObjectType.MiningRobot.Desc = 这类 ##Robot 只能执行这类工作。
ObjectType.Monolith = 旧巨石
ObjectType.Monolith.Desc = 通过开采将其移除。
ObjectType.MudRoad = 泥路
ObjectType.MudRoad.Desc = 朴素的道路。
ObjectType.Mummy = 木乃伊
ObjectType.Mummy.Desc = 木乃伊
ObjectType.OilBarrel = 油桶
ObjectType.OilBarrel.Desc = 制作和维修 ##robot 都离不开油。
ObjectType.OilPump = 油泵
ObjectType.OilPump.Desc = 油泵 ##automatically 从油井中吸取油并将其注入桶中。
ObjectType.OilWell = 油井
ObjectType.OilWell.Desc = 油井可以通过在顶部建造油泵来吸出油。
ObjectType.OreCrusher = 碎矿机
ObjectType.OreCrusher.Desc = 碎矿机 ##automatically 将矿石破碎成小块。
ObjectType.OutpostBonfire = 前哨营火
ObjectType.OutpostBonfire.Desc = ##territory 外放置前哨营火，开辟新领地。
ObjectType.OverheadConveyorCart = 高架运输车
ObjectType.OverheadConveyorCart.Desc = 高架运输系统的组成部分。
ObjectType.OverheadConveyorPath = 高架传送带
ObjectType.OverheadConveyorPath.Desc = 高架运输系统可以在半空运输货物。
ObjectType.OverheadConveyorStation = 高架车站
ObjectType.OverheadConveyorStation.Desc = 连接这个车站，可以通过物流系统运输到其他车站。
ObjectType.PalmTree = 棕榈树
ObjectType.PalmTree.Desc = 棕榈树
ObjectType.Pig = 猪
ObjectType.Pig.Desc = 野生动物。
ObjectType.PowerLine = 电线
ObjectType.PowerLine.Desc = 使用电线连接发电机输送电力。
ObjectType.PyramidRuin = 金字塔
ObjectType.PyramidRuin.Desc = 一座古老的建筑物。
ObjectType.Quarry = 采石场
ObjectType.Quarry.Desc = 采石场 ##automatically 开采无限的岩石。
ObjectType.RailwayCrossing = 铁路交叉口
ObjectType.RailwayCrossing.Desc = 一个简单的铁路交叉口。纯粹的装饰。
ObjectType.RallyFlag = 集合旗帜
ObjectType.RallyFlag.Desc = 所有武装殖民者都会聚集在这面旗帜周围，在看到敌人时会攻击他们。
ObjectType.RecruitingFlag = 招募旗帜
ObjectType.RecruitingFlag.Desc = 这面旗帜属于一群友好的动物或殖民者。
ObjectType.RecyclingWorkshop = 回收工场
ObjectType.RecyclingWorkshop.Desc = 允许殖民者将物品拆解成其初始组件。
ObjectType.RefinedBuildingPart = 精制木制部件
ObjectType.RefinedBuildingPart.Desc = 精制木制部件能用来建造高级建筑。
ObjectType.RobotWorkshop = 机器人工场
ObjectType.RobotWorkshop.Desc = ##robot 工场可以生产你的机器人。
ObjectType.Rock = 岩石堆
ObjectType.Rock.Desc = 开采岩石堆可得到石材用来建造基础建筑。
ObjectType.Ruin = 旧废墟
ObjectType.Ruin.Desc = 通过开采将其移除。
ObjectType.RuinBakery = 废弃面包房
ObjectType.RuinBakery.Desc = 一个废弃的定居点，很久以前就废弃了。
ObjectType.RuinBasicWorkplace = 废弃工坊
ObjectType.RuinBasicWorkplace.Desc = 一个废弃的定居点，很久以前就废弃了。
ObjectType.RuinFragment = 旧残缺废墟
ObjectType.RuinFragment.Desc = 通过开采将其移除。
ObjectType.RuinHouse = 废弃房屋
ObjectType.RuinHouse.Desc = 一个废弃的定居点，很久以前就废弃了。
ObjectType.RuinWell = 废井
ObjectType.RuinWell.Desc = 一个废弃的定居点，很久以前就废弃了。
ObjectType.SandGeode = 沙晶洞
ObjectType.SandGeode.Desc = 可以开采出不同的矿石。
ObjectType.SandGeodeBig = 沙晶洞（大）
ObjectType.SandGeodeBig.Desc = 可以开采出不同的矿石。
ObjectType.SandRock = 沙岩堆
ObjectType.SandRock.Desc = 开采沙岩堆可得到石材用来建造基础建筑
ObjectType.SandRoughGeode = 粗糙的沙晶洞
ObjectType.SandRoughGeode.Desc = 可以开采出不同的矿石。
ObjectType.SandRoughGeodeBig = 粗糙的沙晶洞（大）
ObjectType.SandRoughGeodeBig.Desc = 可以开采出不同的矿石。
ObjectType.Sawmill = 锯木厂
ObjectType.Sawmill.Desc = 锯木厂将原木加工成木板。
ObjectType.Scarab = 白色圣甲虫
ObjectType.Scarab.Desc = 白色圣甲虫
ObjectType.Scorpion = 蝎子
ObjectType.Scorpion.Desc = 有毒危险！
ObjectType.SettlerFemale = 女性殖民者
ObjectType.SettlerFemale.Desc = 一位强壮的女性
ObjectType.SettlerMale = 男性殖民者
ObjectType.SettlerMale.Desc = 一位强壮的男性
ObjectType.Sheep = 绵羊
ObjectType.Sheep.Desc = 绵羊
ObjectType.Slime = 迷你史莱姆
ObjectType.Slime.Desc = 蠢萌蠢萌的敌人
ObjectType.SlimeBig = 大史莱姆
ObjectType.SlimeBig.Desc = 蠢萌蠢萌的敌人
ObjectType.SlimeMini = 史莱姆
ObjectType.SlimeMini.Desc = 蠢萌蠢萌的敌人
ObjectType.SlimePool = 史莱姆池
ObjectType.SlimePool.Desc = 大大小小的史莱姆的家
ObjectType.Smelter = 矿石冶炼厂
ObjectType.Smelter.Desc = 把采出的矿石冶炼成金属锭。
ObjectType.Snake = 蛇
ObjectType.Snake.Desc = 常在草原上发现。
ObjectType.Soil = 土地
ObjectType.Soil.Desc = 土地
ObjectType.Spider = 蜘蛛
ObjectType.Spider.Desc = 为什么？到底为什么？
ObjectType.StatueSettler = 定居者雕像
ObjectType.StatueSettler.Desc = 列夫大帝的雕像，纪念他为伟大的事业而牺牲。
ObjectType.StatueTrain = 火车雕像
ObjectType.StatueTrain.Desc = 火车的雕像
ObjectType.StoneBlank = 石板
ObjectType.StoneBlank.Desc = 石板能用来制造石质工具和武器。
ObjectType.StoneBlock = 石块
ObjectType.StoneBlock.Desc = 经过加工的石块。
ObjectType.StoneRoad = 石路
ObjectType.StoneRoad.Desc = 用石材铺的路。
ObjectType.StoneVein = 石脉
ObjectType.StoneVein.Desc = 开采可得到石材，用来建造基础建筑。
ObjectType.StrawberryDonut = 草莓甜甜圈
ObjectType.StrawberryDonut.Desc = 不健康但难以抵御的美食。
ObjectType.Table = 桌子
ObjectType.Table.Desc = 当他们精疲力竭时，殖民者们会坐在桌子上放松和交流。
ObjectType.Tea = 花茶
ObjectType.Tea.Desc = 提神醒脑的饮品。
ObjectType.TextileWorkplace = 纺织工场
ObjectType.TextileWorkplace.Desc = 纺织工场可以用棉或羊毛制作布匹。
ObjectType.Tomato = 番茄
ObjectType.Tomato.Desc = 番茄作物。
ObjectType.Torch = 火炬
ObjectType.Torch.Desc = 火炬是廉价的光源。
ObjectType.TrackParts = 轨道部件
ObjectType.TrackParts.Desc = 轨道部件能用来建造铁路轨道。
ObjectType.TracksSemaphore = 行车信号
ObjectType.TracksSemaphore.Desc = 行车信号允许多个列车同时运行。
ObjectType.TracksSemaphorePre = 行车预警信号
ObjectType.TracksSemaphorePre.Desc = 预警信号防止列车之间堵塞。
ObjectType.TrainFactory = 火车工厂
ObjectType.TrainFactory.Desc = 火车工厂可建造和同时维护三辆火车( ##logsys )。
ObjectType.TrainingDummy = 训练假人
ObjectType.TrainingDummy.Desc = 被殖民者用来练习战斗。
ObjectType.TrainLocomotive = 火车
ObjectType.TrainLocomotive.Desc = 用来长距离运输沉重货物的火车。
ObjectType.TrainStation = 火车站
ObjectType.TrainStation.Desc = 火车可以停在这里自动装载。
ObjectType.TrainStationSmall = 火车站（小）
ObjectType.TrainStationSmall.Desc = 火车可以停在这里自动装载。
ObjectType.TransportRobot = 运输机器人
ObjectType.TransportRobot.Desc = 这类 ##Robot 只能执行这类工作。
ObjectType.Treadmill = 动力发电机
ObjectType.Treadmill.Desc = 殖民者或动物使用动力发电机##power 。
ObjectType.Tree = 橡树
ObjectType.Tree.Desc = 开采树木可获取原木。
ObjectType.Turtle = 海龟
ObjectType.Turtle.Desc = 海龟
ObjectType.UpgradeWorkshop = 高级工坊
ObjectType.UpgradeWorkshop.Desc = 殖民者可以升级更高质量的工具和武器。
ObjectType.WaterBucket = 水
ObjectType.WaterBucket.Desc = 基本的饮品。
ObjectType.WaterSprinkler = 洒水器
ObjectType.WaterSprinkler.Desc = 能浇灌5x5范围内的农田。
ObjectType.Weed = 杂草
ObjectType.Weed.Desc = 可以通过采集来移除。
ObjectType.Well = 水井
ObjectType.Well.Desc = 殖民者把从水井抽上来的地下水灌入桶中。
ObjectType.Wheat = 小麦
ObjectType.Wheat.Desc = 小麦是一种可以用来制作面包等其他食物的农作物。
ObjectType.WildBushel = 野草
ObjectType.WildBushel.Desc = 可以通过采集来移除。
ObjectType.WoodenBoard = 木板
ObjectType.WoodenBoard.Desc = 木板可以用来建造房屋。
ObjectType.WoodenBuildingPart = 木制部件
ObjectType.WoodenBuildingPart.Desc = 木制部件能用来建造建筑。
ObjectType.WoodenHandle = 木柄
ObjectType.WoodenHandle.Desc = 木柄可用来制作工具和武器。
ObjectType.WoodHammer = 石锤
ObjectType.WoodHammer.Desc = 锤子用于生产商品和建造建筑。
ObjectType.WoodPickaxe = 石稿
ObjectType.WoodPickaxe.Desc = 镐子用来开采石料、树木与山体。
ObjectType.WoodShovel = 石铲
ObjectType.WoodShovel.Desc = 铲子在务农时会用到。
ObjectType.WoodSword = 石剑
ObjectType.WoodSword.Desc = 粗糙的武器，但比赤手空拳好。
ObjectType.Wool = 羊毛
ObjectType.Wool.Desc = 羊毛可以从羊身上采集。
ObjectType.Worm = 蠕虫
ObjectType.Worm.Desc = 可以通过采集来移除。
ObjectType.ZeppelinDepotStation = 飞艇仓库
ObjectType.ZeppelinDepotStation.Desc = 飞艇用来装载中等重量的货物到车站的货物仓库( ##Logsys )。
ObjectType.ZeppelinFactory = 飞艇工厂
ObjectType.ZeppelinFactory.Desc = 制造齐柏林飞艇。可以装载中等重量的货物( ##logsys )。
ObjectType.ZeppelinStation = 飞艇站
ObjectType.ZeppelinStation.Desc = 飞艇用来运输远距离的货物( ##Logsys )的场地。
ObjectType.ZeppelinUnit = 齐柏林飞艇
ObjectType.ZeppelinUnit.Desc = 齐柏林飞艇只能远距离运输单个货物。
ObjectType.Zombie = 殖民者亡灵
ObjectType.Zombie.Desc = 不知道为何还活着。
Pasture.Status.Idle = 闲置。
Pasture.Status.Idle.Desc = 牧场运作正常。
Pasture.Status.NoPastureWorkers = 没有分配牧场工人。
Pasture.Status.NoPastureWorkers.Desc = 指定一名殖民者作为牧场工人，并确保他/她可以访问该区域。
Pasture.Status.Paused = 没有选择动物。
Pasture.Status.Paused.Desc = 选择要驯服的动物类型。 只有视线范围内的中性动物才能被驯服。
Pasture.Status.TooSmall = 牧场太小了。
Pasture.Status.TooSmall.Desc = 牧场每只动物需要6格大小。
PastureAnimal.Status.NoPasture = 动物没有被驯服。
PastureAnimal.Status.NoYield = 动物什么都不产出。
PastureAnimal.Status.YieldProgress = 生产进度：1%
Quality.Level0 = 劣质
Quality.Level0.Desc = 劣质物品
Quality.Level1 = 普通
Quality.Level1.Desc = 普通物品
Quality.Level2 = 优质
Quality.Level2.Desc = 优质物品
Robot.Mode = 机器人模式
Robot.Mode.Desc = ##Robot 可以多种模式运作。该模式影响他们的移动速度以及他们的燃料消耗。
Robot.Mode.ECO = 节能模式
Robot.Mode.NORMAL = 正常模式
Robot.Mode.OFF = 关闭
Robot.Mode.OVERCLOCKED = 超载
Scenario.MockupTier1 = 模拟任务1
Scenario.MockupTier1.Desc = 一个还在制作中的模拟关卡。
Scenario.MockupTier12 = 模拟任务12
Scenario.MockupTier12.Desc = 一个还在制作中的模拟关卡。
Scenario.MockupTier2 = 模拟任务2
Scenario.MockupTier2.Desc = 一个还在制作中的模拟关卡。
Scenario.MockupTier23 = 模拟任务23
Scenario.MockupTier23.Desc = 一个还在制作中的模拟关卡。
Scenario.MockupTier3 = 模拟任务3
Scenario.MockupTier3.Desc = 一个还在制作中的模拟关卡。
Scenario.TestMap = 小型测试地图。
Scenario.TestMap.Desc = 用来测试的。
Scenario.TutorialAdvancedProduction = 教程：进阶生产
Scenario.TutorialAdvancedProduction.Desc = 建造工坊生成多种产品和管理存货。
Scenario.TutorialAutomatedTrains = 教程：火车 II
Scenario.TutorialAutomatedTrains.Desc = 连接自动化生产建筑的物流系统。
Scenario.TutorialBasics = 教程：基本殖民地
Scenario.TutorialBasics.Desc = 练习生产和管理殖民者的基础知识。
Scenario.TutorialCarriages = 教程：马车
Scenario.TutorialCarriages.Desc = 成功连接马车。
Scenario.TutorialCombat = 教程：战斗系统
Scenario.TutorialCombat.Desc = 进攻并摧毁敌人营地。
Scenario.TutorialConveyorBelts = 实例：传送带
Scenario.TutorialConveyorBelts.Desc = 工业中常见的运输装置。
Scenario.TutorialLogistics = 教程：物流系统
Scenario.TutorialLogistics.Desc = 建立前哨站和飞艇运输路线。
Scenario.TutorialOreCrushing = 实例：矿物处理
Scenario.TutorialOreCrushing.Desc = 这个实例展示了如何设置自动化加工处理矿物。
Scenario.TutorialShippingPort = 教程：货船港口
Scenario.TutorialShippingPort.Desc = 使用货船港口 进出口 货物。
Scenario.TutorialTrainCrossing = 教程：立交桥
Scenario.TutorialTrainCrossing.Desc = 实例：立交桥可以让多列火车在同一线路上运行。
Scenario.TutorialTrainPreSignals = 实例：火车信号
Scenario.TutorialTrainPreSignals.Desc = 了解如何使用预警信号，以防火车阻碍交通。
Scenario.TutorialTrains = 教程：火车
Scenario.TutorialTrains.Desc = 通过物流系统连接两个火车站。
Scenario.TutorialTrainSignalsCircle = 实例：火车线路
Scenario.TutorialTrainSignalsCircle.Desc = 学习利用信号灯在单向循环路线网中运行多列火车。
SetAdvancedInputStockpile.Desc = 2.) 指定输入存储区
SetAdvancedInputStockpile.Intro = 我们不希望 殖民者Berta 跑大老远去拿物资。给工坊指定输入存储区以避免这种情况。
SetAdvancedInputStockpile.Outro = 提示：一旦你给一个工坊指定了输入存储区，只有相应存储区内的物资会被用来生产。你可以给工坊同时指定多个输入输出存储区。
SetBertaColor.Desc = 2.) 指派 殖民者Berta 到黄色区域
SetBertaColor.Intro = 殖民者可以被指派到一个或者多个区域。它们只会在他们被指派到的区域内工作。这里我们希望 殖民者Berta 只在我们刚创建的黄色区域内工作。
SetBertaWorkshop.Desc = 1.) 指派 殖民者Berta 到工坊
SetBertaWorkshop.Intro = 殖民者在工作时会累积经验从而越来越熟练。职业专精很关键！本教程中 殖民者Ansgar 将专门负责运输而 殖民者Berta 将专门负责操作工坊。
SetExportStockpiles.Desc = 1.) 运送货物到港口
SetExportStockpiles.Intro = 为了赚取货币，我们需要出口我们生产的商品。 将2号~4号存储区连接到货船港口。
SetExportStockpiles.Outro = 太好了！ 您要出口的货物现在将被运送到货船港口。 请注意，您只能出口自己生产的商品。 选择货船港口以查看不同商品的价格。 提示：将优先级较低的存储区与货船港口连接起来，仅出口多余货物。
SetFighters.Desc = 1.) 将你的殖民者指派为战士
SetFighters.Intro = 大部分地图都被敌人的营地占领。你需要先清理掉它们才能扩张你的地盘。将你的殖民者指派为战士。
SetFighters.Outro = 提示：一旦你的殖民者被指派为战士，他会自动装备上能装备的最好的武器。注意无论你给战士还指派了其他什么工作，他会一直装备着武器。
SetImportStockpiles.Desc = 2.) 搬运货物到存储区
SetImportStockpiles.Intro = 现在我们可以指定想要收到的货物作为回报。 将货船港口连接到5号~7号存储区。
SetOutpostColor.Desc = 1.) 划分不同的区域
SetOutpostColor.Intro = 本教程介绍了如何设置一个前哨站和物流系统。首先我们将领地划分成两个不同的区域。为此，我们选择北边的1号前哨营火并把它的区域颜色设置为黄色。
SetOutpostColorTrain.Desc = 1.) 划分不同的区域
SetOutpostColorTrain.Intro = 本教程的第一步跟 物流系统教程 相同。将北边的1号前哨营火颜色设置为黄色。
SetOutputGoods.Desc = 6.) 调整前哨存储区
SetOutputGoods.Intro = 为了更方便地管理工坊的产量，我们可以改变不同前哨存储区的接收物资。
SetOutputGoods.Outro = 提示：你可以通过控制相应的存储区的大小来控制工坊任意物资的产量。
SetOutputStockpiles.Desc = 5.) 设置前哨存储区
SetOutputStockpiles.Intro = 为我们的工坊指定存储区以开始生产。
SetRecipes.Desc = 4.) 设置产出
SetRecipes.Intro = 我们将用我们的工坊生产木板和石材。设置相应的产出。
Setting.AO.High = 高
Setting.AO.Medium = 中
Setting.AO.Off = 关
Setting.Shadows.Hard = 硬边
Setting.Shadows.Off = 关
Setting.Shadows.Soft = 柔和
Settings.AA = 抗锯齿
Settings.AA.Desc = 抗锯齿：减少边缘周围的锯齿。
Settings.Ambience = 环境
Settings.Ambience.Desc = 周围环境声音的大小
Settings.AO = 环境光遮蔽
Settings.AO.Desc = 环境光遮蔽：用于改善细节及暗部阴影。
Settings.Autosave = 自动保存
Settings.Autosave.Desc = 每隔一段时间自动保存。
Settings.Bevel = 斜角和边缘
Settings.Bevel.Desc = 在对像上绘制斜角效果并在其周围绘制轮廓。
Settings.Bloom = 高光
Settings.Bloom.Desc = 在高亮度物体周围产生条纹或羽毛状的光芒，以模糊图像细节。
Settings.Brightness = 亮度
Settings.Brightness.Desc = 亮度
Settings.Category.Audio = 音频
Settings.Category.Gameplay = 游戏
Settings.Category.Graphics = 图像
Settings.Category.Other = 其他
Settings.Clouds = 云朵
Settings.Clouds.Desc = 云层从大陆上空飘过。
Settings.Debug = 调试/作弊模式
Settings.Debug.Desc = 调试模式允许你自由生成物品（F8）以及访问更多调试选项（F7）。
Settings.DOF = 景深
Settings.DOF.Desc = 在放大时减少焦面范围。
Settings.ExportIcons = 导出图标
Settings.ExportIcons.Desc = 启动时导出图标（一般不需要这个功能）。
Settings.Fog = 烟雾
