language = Spanish
locales = SP
fallback = Francais


# Spanish localization Salvoxea 
# Kubifaktorium.v11.7.2022


MainMenu.NewCampaign  = Nueva campaña
ObjectType.CactusRound  =  Cactus
ObjectType.CactusRound.Desc  =  Los cactus retienen el agua de manera eficiente dado el duro clima en el que viven.
ObjectType.Camel  =  Camello
ObjectType.Camel.Desc  =  Su joroba gorda le permite soportar condiciones climáticas difíciles.
ObjectType.CarbonateQuarry  =  Cantera de carbonato
ObjectType.CarbonateQuarry.Desc  =  Este misterioso mineral proviene directamente de las entrañas de la tierra.
ObjectType.CarbonateVein  =  filón de carbonato
ObjectType.CarbonateVein.Desc  =  Solo un experto en minerales puede reconocer un filón de carbonato.
ObjectType.CarbonizedKoaTree  =  Árbol carbonizado
ObjectType.CarbonizedKoaTree.Desc  =  El calor extremo parece haber transformado el árbol en esta elegante escultura de fresno.
ObjectType.Cheese  =  Queso
ObjectType.Cheese.Desc  =  Simplemente irresistible. Por lo tanto, es más prudente mantenerlo alejado de los ratones.
ObjectType.ChocolateMuffin  =  Magdalenas de chocolate
ObjectType.ChocolateMuffin.Desc  =  Una delicia fácil de llevar.
ObjectType.Cliff  =  Acantilado
ObjectType.Cliff.Desc  =  Acantilado.
ObjectType.CliffBig  =  Acantilado
ObjectType.CliffBig.Desc  =  Acantilado.
ObjectType.Cobra  =  Cobra
ObjectType.Cobra.Desc  =  ¿Podría un encantador de serpientes detener a esta serpiente rugiente?
ObjectType.CobraNest  =  La guarida de la cobra
ObjectType.CobraNest.Desc  =  Solo moleste a estos depredadores durmientes bajo su propio riesgo.
ObjectType.CombatRobot  =  Martillo robótico
ObjectType.CombatRobot.Desc  =  No se ve delicado.
ObjectType.CombatRobot2  =  Robot lanzador de lanzas
ObjectType.CombatRobot2.Desc  =  Este robot es muy preciso y formidable.
ObjectType.CombatRobot3  =  Robot R2
ObjectType.CombatRobot3.Desc  =  Este robot destroza todo lo que se cruza.
ObjectType.CopperCoil  =  Bobina de cobre
ObjectType.CopperCoil.Desc  =  El cobre es un excelente conductor para muchos tipos de sistemas eléctricos.
ObjectType.CopperQuarry  =  Cantera de cobre
ObjectType.CopperQuarry.Desc  =  ¿Las canteras nunca se cansan de cavar sin fin en busca de minerales?
ObjectType.CopperVein  =  Filón de cobre
ObjectType.CopperVein.Desc  =  Debajo de ese pedacito de cobre hay... ¡más cobre!
ObjectType.CorniTreeSnow  =  Abeto
ObjectType.CorniTreeSnow.Desc  =  Una conífera resinosa con hojas perennes en forma de aguja.
ObjectType.Crocodile  =  Cocodrilo
ObjectType.Crocodile.Desc  =  A pesar de sus dientes afilados, es muy amable.
ObjectType.CrocodileBaby  =  Cocodrilo pequeño
ObjectType.CrocodileBaby.Desc  =  Nunca se aventura demasiado lejos de su madre.
ObjectType.Croissant  =  Croissant
ObjectType.Croissant.Desc  =  Un equilibrio perfecto logrado gracias a un exterior crujiente y un interior suave.
ObjectType.CrushedAzurite  =  Azurita triturada
ObjectType.CrushedAzurite.Desc  =  La azurita es un tono azul increíblemente profundo.
ObjectType.CrushedBornite  =  Bornita triturada
ObjectType.CrushedBornite.Desc  =  Su espectacular iridiscencia le ha valido el sobrenombre de piedra pavo real.
ObjectType.CrushedCarbonate  =  Carbonato triturado
ObjectType.CrushedCarbonate.Desc  =  Es fascinante cómo este mineral muestra todo tipo de matices.
ObjectType.CrushedLimonite  =  Limonita triturada
ObjectType.CrushedLimonite.Desc  =  Los minerales amarillos son bastante raros, ¿no crees?
ObjectType.CrushedMalachite  =  Malaquita triturada
ObjectType.CrushedMalachite.Desc  =  Es difícil describir este tono: ¿verde esmeralda, verde trébol o verde helecho?
ObjectType.CrushedVanadium  =  Vanadio triturado
ObjectType.CrushedVanadium.Desc  =  La estructura interna de este mineral es impresionante, recuerda a un mosaico de cristales hexagonales.
ObjectType.DarkGeodeBig  =  Gran Geoda Oscura
ObjectType.DarkGeodeBig.Desc  =  El brillo que emana de esta antigua amalgama es bastante cautivador.
ObjectType.DarkMonolith  =  Monolito oscuro
ObjectType.DarkMonolith.Desc  =  Estos misteriosos edificios no revelarán sus secretos tan fácilmente.
ObjectType.DarkSkeleton  = Esqueleto oscuro
ObjectType.DarkSkeleton.Desc  =  Una cáscara podrida de un animal grande.
ObjectType.DateMilkshake  =  Batido de dátiles
ObjectType.DateMilkshake.Desc  =  Una bebida exótica y nutritiva.
ObjectType.DecoSnowRocks  =  Rocas de Nieve
ObjectType.DecoSnowRocks.Desc  =  Estas piedras están cubiertas con una gruesa capa de nieve.
ObjectType.DepotExitOverflow  =  Salida de Almacén (desbordamiento)
ObjectType.DepotExitOverflow.Desc  =  Los artículos se traerán aquí cuando el Almacén esté lleno en más del 75 %.
ObjectType.DepotHC5x5  =  Almacén 5x5 (alta capacidad)
ObjectType.DepotHC5x5.Desc  =  Los Almacenes automatizados se pueden utilizar para almacenar y distribuir mercancías.
ObjectType.DesertShrub  =  Arbusto del desierto
ObjectType.DesertShrub.Desc  =  Un simple arbusto del desierto.
ObjectType.ElectronicComponents  =  Partes electronicas
ObjectType.ElectronicComponents.Desc  =  Esta tecnología de punta es particularmente delicada y debe manejarse con cuidado.
ObjectType.ElectronicsFactory  =  Fábrica de electrónica
ObjectType.ElectronicsFactory.Desc  =  Esta fábrica produce tecnologías de última generación. Eso es lo único que sabemos de él.
ObjectType.Fennec  =  Fennec
ObjectType.Fennec.Desc  =  Una especie muy pequeño zorro nativo de las zonas desérticas.
ObjectType.FertileRock  =  Rocas de lava
ObjectType.FertileRock.Desc  =  Estas piedras son en realidad piezas de lava que datan de unos miles de años.
ObjectType.Floor_Dark_Fertile  =  Tierra volcánica
ObjectType.Floor_Dark_Fertile.Desc  =  Te permite plantar vida en un entorno hostil.
ObjectType.Floor_Dark_Lava  =  Lago magmático
ObjectType.Floor_Dark_Lava.Desc  =  Lava solida
ObjectType.Floor_Dark_Lava_Water  =  Lava liquida
ObjectType.Floor_Dark_Lava_Water.Desc  =  lava liquida
ObjectType.Floor_Grassland_Ice  =  Nieve
ObjectType.Floor_Grassland_Ice.Desc  =  Nieve
ObjectType.Floor_Sand_Water  =  Arena
ObjectType.Floor_Sand_Water.Desc  =  Arena
ObjectType.Foundation  =  Base
ObjectType.Foundation.Desc  =  Construir en terreno bajo para permitir la construcción de edificios, carreteras y caminos.
ObjectType.Foundation_Pier  =  Plataforma
ObjectType.Foundation_Pier.Desc  =  Un muelle en el que tus colonos pueden caminar (decoración).
ObjectType.Foundation_Pier_High  =  Muelle (elevado)
ObjectType.Foundation_Pier_High.Desc  =  Un muelle en el que tus colonos pueden caminar (decoración).
ObjectType.Fries  =  Patatas fritas
ObjectType.Fries.Desc  =  Tus papas fritas son solo mis papas fritas en el plato equivocado.
ObjectType.Frog  =  Rana
ObjectType.Frog.Desc  =  Un individuo muy aerodinámico que nunca se cansa de sus estiramientos diarios.
ObjectType.FruitBowl  =  Ensalada de frutas
ObjectType.FruitBowl.Desc  =  El más sano de los manjares. ¡No dudéis en recargaros vosotros mismos!
ObjectType.Garbage  =  Basura
ObjectType.Garbage.Desc  =  Se descompone lentamente cuando se almacena en un vertedero.
ObjectType.GarbageDump5x5  =  volcado 5x5
ObjectType.GarbageDump5x5.Desc  =  Un lugar para almacenar y descomponer cosas que ya no necesitas.
ObjectType.Graveyard  =  Cementerio
ObjectType.Graveyard.Desc  =  Un lugar de descanso para los muertos y una morada para toda clase de espíritus.
ObjectType.HarvestedBarley  =  Cebada
ObjectType.HarvestedBarley.Desc  =  Un cereal nutritivo utilizado principalmente en la fabricación de cerveza y pan.
ObjectType.HarvestedDates  =  Datil
ObjectType.HarvestedDates.Desc  =  Cuando se secan, tienden a ser muy dulces.
ObjectType.HarvestedMaize  =  Maíz
ObjectType.HarvestedMaize.Desc  = Una textura tan brillante que dan ganas de morder directamente la mazorca.
ObjectType.HarvestedPlums  =  Ciruelas
ObjectType.HarvestedPlums.Desc  =  Es casi imposible quitar la vista del hermoso color púrpura de estas frutas.
ObjectType.HarvestedPotato  =  Patatas
ObjectType.HarvestedPotato.Desc  =  Un excelente alimento básico. Especialmente para los desarrolladores de este juego.
ObjectType.HarvestedSorghum  =  Sorgo
ObjectType.HarvestedSorghum.Desc  =  Un grano antiguo rico en nutrientes y sin gluten.
ObjectType.HarvestedTea  =  Hojas de té)
ObjectType.HarvestedTea.Desc  =  Las hojas de té se utilizan para preparar una bebida muy beneficiosa para la salud.
ObjectType.HorseBarn  =  Establo
ObjectType.HorseBarn.Desc  =  Puedes reconocer un establo a caballo por su agradable olor a paja
ObjectType.HorseStation3x3  =  Estacion de caballos
ObjectType.HorseStation3x3.Desc  =  Los vagones utilizan las estaciones de tren para transportar mercancías. Acompañado por un caballo!
ObjectType.HouseTier3  =  Residencia
ObjectType.HouseTier3.Desc  =  Una casa elegante y humilde donde la vida es buena
ObjectType.JoshuaTree  =  Árbol de Joshué
ObjectType.JoshuaTree.Desc  =  El árbol de Joshué también se llama "izote de desierto" o daga del desierto en español
ObjectType.Kitchen  =  Cocina
ObjectType.Kitchen.Desc  =  Una receta en sí misma no tiene alma, el cocinero debe darle alma a la receta
ObjectType.KoaTree  =  Arbol de koa
ObjectType.KoaTree.Desc  =  Un árbol que crece muy bien sobre ceniza volcánica. Su madera se utiliza a menudo en la fabricación de violines
ObjectType.Lantern  =  Linterna
ObjectType.Lantern.Desc  =  Construye Hogueras para expandir tu territorio y definir zonas
ObjectType.Lizard  =  Lagarto
ObjectType.Lizard.Desc  =  Rápido y ágil, este discreto reptil no debe subestimarse
ObjectType.LizardNest  =  Cueva de los lagartos
ObjectType.LizardNest.Desc  =  Esta extraña estructura parece albergar oscuras criaturas reptilianas
ObjectType.LongInserter  =  Insertador largo
ObjectType.LongInserter.Desc  =  Los insertadores mueven artículos entre cintas transportadoras, Almacenes y más
ObjectType.MaizePlant  =  Maíz
ObjectType.MaizePlant.Desc  =  Esta antigua planta fue domesticada en el sur de México hace unos 10.000 años
ObjectType.MalachiteBlock  =  Lingote de malaquita
ObjectType.MalachiteBlock.Desc  =  La palabra malaquita hace referencia a su parecido con las hojas de malva
ObjectType.MargheritaPizza  =  Pizza margarita
ObjectType.MargheritaPizza.Desc  = Sencillo de preparar y a la vez tan sabroso.
ObjectType.MegaCobra  =  Cobra real
ObjectType.MegaCobra.Desc  =  Este majestuoso adversario parece ser muy venenoso
ObjectType.MegaLizard  =  Líder Supremo Lagarto
ObjectType.MegaLizard.Desc  =  Un temible y robusto guerrero de piel escamosa.
ObjectType.MegaMummy  =  Faraón momia
ObjectType.MegaMummy.Desc  =  ¿Quién se atrevió a despertarlo de su sueño eterno?
ObjectType.MegaScorpion  =  Majestad escorpio
ObjectType.MegaScorpion.Desc  =  ¡Mantente en guardia! Este podría ser un encuentro mortal
ObjectType.MetalMixingFurnace  =  Horno mezclador de metales
ObjectType.MetalMixingFurnace.Desc  =  Admira este espléndido metal rojo fuego
ObjectType.MinedBornite  =  Mineral de bornita
ObjectType.MinedBornite.Desc  =  El color de este mineral se asemeja a los tonos de las plumas de pavo real.
ObjectType.MinedCarbonate  =  Mineral de carbonato
ObjectType.MinedCarbonate.Desc  =  ¡Aunque está en su estado bruto, este mineral ya es magnífico!
ObjectType.MinedRuby.Desc  =  Rubí
ObjectType.ModernBuildingPart  =  Piezas de construcción moderno
ObjectType.ModernBuildingPart.Desc  =  A pesar de su delgadez, ligereza y ligereza, es un material de construcción muy resistente.
ObjectType.Mule  =  Mula
ObjectType.Mule.Desc  =  Una bestia tan perdurable como intel_ligente. Capaz de llevar pesos pesados.
ObjectType.Ostrich  =  Avestruz
ObjectType.Ostrich.Desc  =  Una de las aves más grandes del planeta. No bebe porque obtiene el agua de su dieta.
ObjectType.PlumTart  =  Pastel de ciruela
ObjectType.PlumTart.Desc  =  Un buen pastel de ciruelas
ObjectType.PlumTree  =  Ciruelo
ObjectType.PlumTree.Desc  =  La cosecha promete ser particularmente generosa.
ObjectType.PoolTable  =  Mesa de billar
ObjectType.PoolTable.Desc  =  En su tiempo libre, a los colonos les gusta jugar al billar.
ObjectType.Porridge  =  Papilla
ObjectType.Porridge.Desc  =  Un alimento equilibrado, perfecto para el desayuno.
ObjectType.Potato  =  Patatas
ObjectType.Potato.Desc  =  El verdadero placer está escondido bajo tierra.
ObjectType.PowerPlant  =  Central eléctrica
ObjectType.PowerPlant.Desc  =  Quema diferentes tipos de combustible para liberar el poder que reside en su interior.
ObjectType.PowerPole  =  Poste eléctrico
ObjectType.PowerPole.Desc  =  Conecta los edificios que consumen energía a la red.
ObjectType.RoseGoldBlock  =  Lingote de oro rosa
ObjectType.RoseGoldBlock.Desc  =  Podemos decir que es un metal muy chic.
ObjectType.ScorpionNest  =  La guarida del escorpión
ObjectType.ScorpionNest.Desc  = Es mejor no acercarse a este edificio, uno de ellos todavía podría estar merodeando por allí.
ObjectType.SeaWeed  =  Algas marinas
ObjectType.SeaWeed.Desc  =  Plantas acuáticas.
ObjectType.SmallBat  =  pequeño murciélago
ObjectType.SmallBat.Desc  =  Pequeño pero astuto, ¡cúbrete el cuello!
ObjectType.Snail  =  Caracol
ObjectType.Snail.Desc  =  Un invertebrado relajado al que le gusta ir a su propio ritmo. Le encanta mordisquear tus verduras.
ObjectType.SnowBench  =  banco cubierto de nieve
ObjectType.SnowBench.Desc  =  Qué mejor que sentarse y disfrutar de la calma que proporciona este paisaje nevado.
ObjectType.SnowMan  =  Muñeco de nieve
ObjectType.SnowMan.Desc  =  Parece disfrutar del paisaje.
ObjectType.SolarCell  =  Paneles solares
ObjectType.SolarCell.Desc  =  Un dispositivo automático de generación de energía de última generación.
ObjectType.Sorghum  =  Sorgo
ObjectType.Sorghum.Desc  =  Pertenece a la familia de las gramíneas y es resistente a la sequía y al calor.
ObjectType.SpiderNest  =  Nido de araña
ObjectType.SpiderNest.Desc  =  Hogar de temibles monstruos de ocho patas.
ObjectType.SteelBeam  =  Viga de acero
ObjectType.SteelBeam.Desc  =  Uno de los materiales de construcción más confiables y fuertes.
ObjectType.SteelBlock  =  Lingote de acero
ObjectType.SteelBlock.Desc  =  Se utiliza para construir edificios avanzados.
ObjectType.SteelHammer  =  martillo de acero
ObjectType.SteelHammer.Desc  =  Los martillos se utilizan para producir bienes y construir edificios.
ObjectType.SteelHandle  =  Mango de acero
ObjectType.SteelHandle.Desc  =  Los mangos se utilizan para fabricar herramientas de acero.
ObjectType.SteelPickaxe  =  pico de acero
ObjectType.SteelPickaxe.Desc  =  Los picos se utilizan para extraer rocas, árboles y montañas.
ObjectType.SteelShovel  =  Pala de acero.
ObjectType.SteelShovel.Desc  =  Las palas se utilizan para trabajos agrícolas.
ObjectType.StoneWall  =  Pared de piedra
ObjectType.StoneWall.Desc  =  Puramente decorativa por el momento.
ObjectType.StrawberryPie  =  Tarta de fresa
ObjectType.StrawberryPie.Desc  =  Tan apetecible como satisfactorio.
ObjectType.TeaShrub  =  Árbol de té
ObjectType.TeaShrub.Desc  =  Las hojas de Camellia sinensis se pueden cosechar y secar para hacer té.
ObjectType.TelevisionPlace  =  Rincón de televisión
ObjectType.TelevisionPlace.Desc  =  Sea lo que sea esta película, parece particularmente cautivadora.
ObjectType.ToolWorkshop  = taller de herramientas de piedra
ObjectType.ToolWorkshop.Desc  =  Para alguien que solo tiene un martillo, todo lo que encuentra le parecerá un clavo.
ObjectType.TradeCaravan  =  caravana mercante
ObjectType.TradeCaravan.Desc  =  De hecho, hay un ambiente bastante jovial que prevalece en este lugar de regateo.
ObjectType.TrainFactoryLong  =  Fábrica de trenes (grande)
ObjectType.TrainFactoryLong.Desc  =  Un tren solo se puede construir con mucho trabajo duro.
ObjectType.TrainLocomotive2  =  Locomotora
ObjectType.TrainLocomotive2.Desc  =  Dondequiera que va, deja tras de sí una estela de humo y algunos trozos de carbón.
ObjectType.TrainLocomotive3  =  Locomotora
ObjectType.TrainLocomotive3.Desc  =  Dondequiera que va, deja tras de sí una estela de humo y algunos trozos de carbón.
ObjectType.TrainStationLong  =  Estación (larga)
ObjectType.TrainStationLong.Desc  =   Las estaciones de tren tienden a ser lugares concurridos y ruidosos, pero a algunos les gusta.
ObjectType.TrainWagon  =  Vagon de tren
ObjectType.TrainWagon.Desc  =  Los trenes se utilizan para transportar mercancías pesadas a largas distancias.
ObjectType.TrainWagon2  =  Vagon de tren 
ObjectType.TrainWagon2.Desc  =  Los trenes se utilizan para transportar mercancías pesadas a largas distancias.
ObjectType.TrainWagon3  =  Vagon de tren
ObjectType.TrainWagon3.Desc  =  Los trenes se utilizan para transportar mercancías pesadas a largas distancias.
ObjectType.TreeFallen  =  Árbol muerto
ObjectType.TreeFallen.Desc  =  Volviendo a la tierra.
ObjectType.TreeFallenTwo  =  Árbol muerto
ObjectType.TreeFallenTwo.Desc  =  Volviendo a la tierra.
ObjectType.WatchTower  =  Torre de vigilancia
ObjectType.WatchTower.Desc  =  Construye una torre de vigilancia para expandir tu campo de visión.
ObjectType.WaterSprinkler2  =  Aspersor de agua (avanzado)
ObjectType.WaterSprinkler2.Desc  =  ¡Cualquiera que se acerque demasiado terminará mojado!
ObjectType.WhaleSkeleton  =  Esqueleto de ballena
ObjectType.WhaleSkeleton.Desc  =  Una ballena que quedó varada hace mucho tiempo...
ObjectType.XmasPresents  =  Regalos de Navidad
ObjectType.XmasPresents.Desc  =  ¡Oh, vamos, queremos saber qué hay dentro!
ObjectType.XmasTree  =  Arbol de navidad
ObjectType.XmasTree.Desc  =  Un árbol de hoja perenne que está decorado para celebrar la temporada navideña.
ObjectType.Yoghurt  =  Yogur
ObjectType.Yoghurt.Desc  =  Derivado de la fermentación de la leche, contiene bacterias probióticas beneficiosas para la microbiota.
ObjectType.Zebu  =  Cebú
ObjectType.Zebu.Desc  =  Se considera que este animal proviene de la especie extinta de Aurochs.
OreCrushing.Desc  = 1.) Fabricación de Lingotes de hierro
OreCrushing.Intro  = Este escenario muestra cómo se pueden usar las cintas transportadoras, los Almacenes y los talleres automatizados para producir automáticamente productos como Lingotes de hierro.
Recipe.BorniteSorting  =  Clasificación de bornitas
Recipe.CarbonateSorting  =  Clasificación de carbonatos
Recommendation.AdvancedToolWorkshop  =  Proporcione herramientas de calidad a sus colonos.
Recommendation.AutoKiln  =  Automatice el proceso de fusión.
Recommendation.Bakery  =  Establecer la producción de alimentos de alta calidad.
Recommendation.BasicWorkplace  =  Producir materiales de construcción.
Recommendation.BasicWorkplace2  =  Producir materiales de construcción sofisticados.
Recommendation.House  =  Construye casas para tus colonos.
Recommendation.Leisure  =  Crear lugares para relajarse.
Recommendation.Sawmill  =  Automatice la transformación de los recursos básicos.
Recommendation.StatueTrain  =  Decora tu campamento
Recommendation.ToolWorkshop  =  Proporcione herramientas a sus colonos.
Recommendation.Well  =  Construir una fuente de agua potable.
Robot.Disassemble  =  Desmontaje de robots
Robot.Disassemble.Desc  =  Permite desmontar robots y recuperar sus componentes originales.
Scenario.AllTheBiomes  =  ¡Todos los biomas!
Scenario.AllTheBiomes.Desc  =  Tener todos los biomas en un solo mapa (experi_mental).
Scenario.AllTheBiomes.Name  =  Mapa multibioma
Scenario.MockupTier1.Name  =  Nivel 1
Scenario.MockupTier12.Name  =  Nivel 1 + 2
Scenario.MockupTier2.Name  =  Nivel 2
Scenario.MockupTier23.Name  =  Nivel 2 + 3
Scenario.MockupTier3.Name  =  Nivel 3
Scenario.TestMap.Name  =  Tarjeta en blanco
Scenario.TutorialAutoWorkshops  =  Tutorial: Talleres Automatizados
Scenario.TutorialAutoWorkshops.Desc  =  Configura talleres automatizados de diferentes maneras.
Scenario.TutorialAutoWorkshopSupply  =  Ejemplo: Múltiples entradas
Scenario.TutorialAutoWorkshopSupply.Desc  =  Utilice cintas Transportadora expendedoras para proporcionar bienes de entrada.
Scenario.TutorialConveyorLogistics  =  Tutorial: cintas Transportadora y logística.
Scenario.TutorialConveyorLogistics.Desc  =  Utilizar cintas transportadoras en el sistema logístico.
SetBertaWorkshop.Outro  =  Sugerencia: también puede asignar colonos a talleres específicos seleccionándolos y haciendo clic derecho en el taller.
Settings.Lightning  =  Efectos de luz
Settings.Lightning.Desc  = Apague los efectos de luz, por ejemplo, si es propenso a sufrir ataques epilépticos.
Settings.RecommendationCount  =  Recomendaciones
Settings.RecommendationCount.Desc  =  Modifica el número de recomendaciones que se muestran al mismo tiempo.
Settings.WarningFlags  =  Banderas de alerta
Settings.WarningFlags.Desc  =  Muestra banderas de advertencia junto a los edificios cuando no están instalados correctamente.
Settings.WorkSound  =  Son. Construcción
Settings.WorkSound.Desc  =  El volumen de los efectos de sonido relacionados con las construcciones (en relación con el volumen del sonido).
ShippingPort.Status.ShouldHaveNoExitHopper  =  Salida de Almacén sin modo automatización.
ShippingPort.Status.ShouldHaveNoExitHopper.Desc  =  Las salidas de Almacén no funcionarán correctamente si no se utiliza el modo automatización.
ShippingPort.Status.ShouldHaveNoExportStockpile  =  Exportar área de Almace_namiento  en modo automatización
ShippingPort.Status.ShouldHaveNoExportStockpile.Desc  =  Cuando se utiliza el modo automatización para exportar, no se debe vincular ningún área de Almace_namiento .
ShippingPort.Status.ShouldHaveNoImportStockpile  =  Importar área de Almace_namiento  en modo automatización
ShippingPort.Status.ShouldHaveNoImportStockpile.Desc  =  Cuando se utilizan puntos de venta de Almacén para importar, no debe vincularse ninguna zona de retención de importaciones.
Task.AutoWorkshopClear.Text  =  Retire la entrada $1 de $2.
Task.Export.Text  =  Exportaciones $1.
Task.Import.Text  =  Importar $1.
Task.ProduceHigh.Text  =  Produce $1 en $2.
Task.SupplyAutoWorkshop.Text  =  Produce $1 en $2.
Task.UnloadAutoWorkshop.Text  =  Tirar $1 de $2.
Task.UpgradeCarry.Text  =  Actualización de $1.
TaskGroup.Logistics  =  Logística
TaskGroup.Logistics.Desc  =  Transporte a áreas de Almace_namiento  y Almacenes, importación y exportación.
TCLLinkGoldBlocks.Desc  =  1.) Conecta los Lingotes oro
TCLLinkGoldBlocks.Intro  =  Usaremos zepelines para transportar los Lingotes de oro. Para ello, empieza conectando la estación del zepelín del norte (2) con la del sur (4).
TCLLinkGoldBlocks.Outro  =  Búho ! Cintas transportadoras e insertadores asegurarán que los Lingotes sean llevados al Almacén correcto.
TCLLinkStoneBlocks.Desc  =  2.) Conecte los bloques de piedra
TCLLinkStoneBlocks.Intro  =   Podemos utilizar la misma instalación para transportar bloques de piedra en sentido inverso.
TerrainShape.PlaneWithMountains  =  No hay agua
Tooltip.ItemDonation  =  Dona este artículo.
Tooltip.ItemDonation.Desc  =  Dale este artículo a un jugador al azar. El artículo se marcará como "enviado por $1".
UI.Apply  = Aplicar
UI.ApplyResolution.Testing  =  Restablecimiento de parámetros en $1s. Haga clic en "aplicar" para confirmar los cambios.
UI.AssignZoneBonfire  =  Defina el área.
UI.AssignZoneBonfire.Desc  =  Haga clic aquí para cambiar el color de esta área.
UI.Build.Hint  =  R: rotación, V: cambio de variación
UI.Build.HintUnload  =  Descarga materiales de construcción de tu barco para desbloquear edificios.
UI.CarryingStrength  =  Poder para llevar: $1
UI.ClearZone.Hint  =  V: Cambio entre diferentes objetos
UI.Conv.Hint  =  R: Rotar, V: Alternar arriba/abajo
UI.DistributorMode  =  Modo distribuidor:
UI.DistributorMode.1  =  Priorizar salida 1
UI.DistributorMode.1.Desc  =  Entregar mercancías a la Salida 1 siempre que sea posible.
UI.DistributorMode.2  =  Priorizar salida 2
UI.DistributorMode.2.Desc  =  Entregar mercancías a la salida 2 siempre que sea posible.
UI.DistributorMode.3  =  Priorizar salida 3
UI.DistributorMode.3.Desc  =  Entregar mercancías a la salida 3 siempre que sea posible.
UI.DistributorMode.Equal  =  Proporción fija
UI.DistributorMode.Equal.Desc  =  Mantener una proporción fija de entradas (por ejemplo, para ofrecer talleres automatizados). Solo funciona con una cinta de salida.
UI.DistributorMode.Normal  =  Ciclo
UI.DistributorMode.Normal.Desc  =  Recorre automáticamente entre entradas y salidas (predeterminado).
UI.ForbidStockpiling  =  No utilizar como área de Almace_namiento .
UI.ForbidStockpiling.Desc  =  Utilice esta opción si desea utilizar esta área de Almace_namiento /Almacén como salida para un banco de trabajo determinado.
UI.FuelTypes  =  Tipos de combustible:
UI.FuelValue  =  Valor del combustible: $1 MWh
UI.FullScreenMode.ExclusiveFullScreen  =  Exclusivo a pantalla completa
UI.FullScreenMode.FullScreenWindow  =  Pantalla completa
UI.FullScreenMode.MaximizedWindow  =  ventana maximizada
UI.FullScreenMode.Windowed  =  Ventana
UI.HousingValue.High  =  Alto
UI.HousingValue.Low  =  Bajo
UI.InventoryMenu.Title  = Inventario
UI.MessageLog.Title  =  Historial de mensajes
UI.ModsRequireRestart  =  <color
UI.PastureYield.Short  =  Rendimiento en pasto
UI.Priority.Tooltip1  =  Prioridad Muy alta 
UI.Priority.Tooltip1.Desc  =  Las áreas de Almace_namiento  y los talleres con mayor prioridad se utilizan primero.
UI.Priority.Tooltip2  =  Prioridad Alta 
UI.Priority.Tooltip2.Desc  =  Las áreas de Almace_namiento  y los talleres con mayor prioridad se utilizan primero.
UI.Priority.Tooltip3  =  Prioridad normal
UI.Priority.Tooltip3.Desc  =  Las áreas de Almace_namiento  y los talleres con mayor prioridad se utilizan primero.
UI.Priority.Tooltip4  =  Prioridad Baja 
UI.Priority.Tooltip4.Desc  =  Las áreas de Almace_namiento  y los talleres con mayor prioridad se utilizan primero.
UI.Priority.Tooltip5  =  Prioridad muy baja
UI.Priority.Tooltip5.Desc  =  Las áreas de Almace_namiento  y los talleres con mayor prioridad se utilizan primero.
UI.Recipe.Outputs  =  Salidas:
UI.Recipe.Workshop  =  Taller:
UI.Recruit.It  =  Reclutarlo
UI.RemoveRecommendation  =  Eliminar recomendación.
UI.RemoveRecommendation.Desc  =  Elimine esta recomendación de la lista y reemplácela por una nueva.
UI.RequiresBlueprint  =  Requiere un plan de construcción
UI.SettleDown  =  Instalarse en esta isla
UI.SettleDown.Desc  =  Tu barco solo puede transportar un número limitado de colonos a la siguiente isla. Los colonos que se queden aquí se instalarán allí y enviarán Monedas a tus futuras colonias.
UI.SettlerScreen.SettleDown  =  Los colonos de $1 se establecerán aquí y enviarán monedas de $2/día. Los colonos de $3/$4 viajarán a la siguiente isla.
UI.SettlerScreen.SettleDown.Desc  =  Tu barco solo puede transportar un número limitado de colonos a la siguiente isla. Los colonos que se queden aquí se instalarán allí y enviarán Monedas a tus futuras colonias.
UI.Track.Hint  =  R: girar, V: inclinar hacia arriba/abajo
UI.Vein.Construct  =  Edificio de extracción.
UI.Vein.Construct.Desc  =  Coloque el edificio apropiado para extraer este filón.
UI.Vein.Destroy.Confirm  =  ¿Está seguro de que desea eliminar este filón. No se puede deshacer.
UI.WM.IslandTooltip.MoneyTransfer  =  Te envía $1 #Monedas# por día.
UI.WMMain  =  Volver al menú principal
UI.WMMain.Desc  =  Finaliza el juego y vuelve al menú principal.
WorkshopAuto.Status.NoEnergy  =  Sin energía
WorkshopAuto.Status.NoEnergy.Desc  =   Este edificio necesita energía para funcionar. Construir instalaciones de generación de energía y postes de energía para suministrar energía.
ZeppelinFinal.Desc  =  7.) Termina este tutorial.

# 30.11.2020 
ObjectType.ToolWorkshopTier3  = Taller de herramientas de Acero
ObjectType.ToolWorkshopTier3.Desc  =  Cada herramienta lleva dentro el aliento por el cual fue creada
Recommendation.Farms  =  Plantar tomates y fresas
Recommendation.Tier1  =  Obtener o descargar recursos de nivel 2
Recommendation.Tier2  =  Obtenga recursos de nivel 2
Recommendation.Tier3  =  Consigue recursos de nivel 3
Settings.RecommendationEarlierTiers  =  Recom. nivel inferior
Settings.RecommendationEarlierTiers.Desc  =  Muestra recomendaciones de niveles inferiores

# 19.01.2021 
Message.GameSaveFailedIO  =  Ocurrió un error-IO al guardar el juego
Message.GameSaveFailedUnknown  =  Error desconocido al guardar el juego
